fullname,Papers,Cites,H-Index,HM-Index,First,Last
Joshua R. Goldstein,3,47,3,2,2006,2018
David K. Guilkey,3,69,3,2,1986,1997
Lincoln H. Day,3,44,2,2,1965,1986
Joseph J. Spengler,3,13,2,2,1955,1970
T. R. Balakrishnan,3,22,3,2,1969,1978
Thomas W. Pullum,3,22,3,2,1981,1999
Minja Kim Choe,3,281,3,2,1994,2010
H. J. Page,3,96,3,2,1976,1980
Laurie F. DeRose,3,51,2,2,2002,2017
Alden Speare,3,83,3,2,1967,1973
Ernestina E. Coast,3,67,2,2,2003,2018
H. V. Muhsam,3,41,2,2,1951,1960
Jane E. Miller,3,57,2,2,1989,1995
Jessica Nisén,3,19,2,2,2014,2020
C. E.V. Leser,3,19,2,2,1955,1958
Satvika Chalasani,3,54,3,2,2012,2020
Hendrik P. Van Dalen,3,117,2,2,2005,2020
Susheela D. Singh,3,32,2,2,1979,1985
Gavin W. Jones,3,31,3,2,1977,1983
Alain Blum,3,60,3,2,1989,1996
John A. Ross,3,10,2,2,1980,1984
Charles A. Price,3,66,2,2,1962,1965
Kieron J. Barclay,3,14,2,2,2017,2020
Alexia Prskawetz,3,176,2,2,2001,2017
N. Keilman,3,34,3,2,1994,2001
Tarani Chandola,3,74,3,2,1999,2002
Martin Kolk,3,40,2,2,2014,2020
Michael Freeberne,3,7,2,2,1964,1966
James W. Vaupel,3,176,2,2,1986,2004
Tomas Frejka,3,32,2,2,1968,2005
Donald W. Hastings,2,15,2,2,1971,1972
Brendan M. Walsh,2,40,2,2,1970,1995
V. C. Chidambaram,2,12,2,2,1981,1982
John W. McDonald,2,420,2,2,1984,1985
R. G. Brown,2,227,2,2,1955,1972
Chirayath M. Suchindran,6,63,3,2,1979,1985
Jean Pierre L. Habicht,2,116,2,2,1983,1985
Sajeda Amin,2,36,2,2,1998,2004
R. Sauer,2,77,2,2,1974,1978
Terence H. Hull,2,31,2,2,1977,1977
Ph van Praag,2,6,2,2,1977,1978
Abdur Razzaque,2,114,2,2,1990,2008
Norman Y. Luther,2,35,2,2,1988,1990
Tim P. Dyson,2,103,2,2,1991,1991
D. I. Pool,2,4,2,2,1967,1973
B. D. Misra,2,58,2,2,1980,1984
Paul Conal Winters,2,110,2,2,2002,2007
Anthony H. Richmond,2,19,2,2,1964,1968
Anastasia Jessica Gage,2,135,2,2,1998,2006
Dominique Meekers,2,83,2,2,1994,1999
Anastasia J. Gage-Brandon,2,114,2,2,1993,1994
Youssef Courbage,2,34,2,2,1979,1997
Roy Malcolm Anderson,2,83,2,2,1994,1999
Renzo Derosas,2,22,2,2,2009,2010
Susan E. Short,2,58,2,2,2000,2004
Jay Murray Winter,2,75,2,2,1976,1977
Eric S. Richards,2,10,2,2,1997,1999
Eugene A. Hammel,2,86,2,2,1994,2004
Francine van de Walle,2,38,2,2,1975,1989
George B. Simmons,2,58,2,2,1980,1984
Vasilios G. Valaoras,2,11,2,2,1950,1965
Donald J. Morse,2,35,2,2,1993,1993
Peter E. Razzell,2,61,2,2,1972,1974
J. H. Woodward,2,208,2,2,1988,1989
Aad W. van der Vaart,1,5,1,1,2007,2007
L. W. St John-Jones,1,2,1,1,1979,1979
Shreeniwas Sudha,1,30,1,1,1997,1997
Zenas M. Sykes,1,12,1,1,1980,1980
Mary E. Deeb,1,15,1,1,1997,1997
Catherine Panter-Brick,1,30,1,1,1996,1996
Harri Siiskonen,1,13,1,1,2000,2000
Andrew Hinde,1,12,1,1,2000,2000
Jean Walters MacCluer,1,8,1,1,1986,1986
Richard E. Bilsborrow,1,26,1,1,1986,1986
Natalie Kyriazis,1,4,1,1,1982,1982
Anne Emmanuèle Calvès,1,29,1,1,1999,1999
Paula M. Lantz,1,12,1,1,1992,1992
Gerry Redmond,1,28,1,1,2005,2005
Hamed Abou-Gamrah,1,1,1,1,1976,1976
Stephen Meir Tollman,1,34,1,1,2002,2002
Phillips Cutright,1,3,1,1,1973,1973
Zeba A. Sathar,1,83,1,1,1984,1984
Susan C.M. Scrimshaw,1,47,1,1,1975,1975
Tineke Fokkema,1,51,1,1,2005,2005
Frances Kobrin Goldscheider,1,92,1,1,1990,1990
Elizabeth Overton,1,43,1,1,1985,1985
Franklin F. Mendels,1,10,1,1,1978,1978
Gunter Steinmann,1,19,1,1,1992,1992
E. Ben-Moshe,1,13,1,1,1985,1985
Peter Sandiford,1,65,1,1,1995,1995
Porntip Sriwatcharin,1,37,1,1,1999,1999
Thomas A. Mroz,1,39,1,1,1990,1990
J. C. Gomez de Leon,1,48,1,1,1983,1983
François Pelletier,1,23,1,1,1997,1997
Tara Kanitkar,1,4,1,1,1974,1974
Quincy Thomas Stewart,1,66,1,1,1999,1999
Parfait M. Eloundou-Enyegue,1,11,1,1,2003,2003
D. Guz,1,19,1,1,1991,1991
Arjan Gjonça,1,20,1,1,2001,2001
Kirsty McNay,1,59,1,1,2003,2003
Birgitta Bucht,1,8,1,1,1986,1986
Hélène Vézina,1,18,1,1,2017,2017
Suzana Cavenaghi,1,11,1,1,2013,2013
Riad B. Tabbarah,1,4,1,1,1964,1964
Fred M.M. Lewes,1,4,1,1,1984,1984
P. O. Olusanya,1,10,1,1,1969,1969
Sara Peracca,1,37,1,1,1999,1999
R. Kanbargi,1,7,1,1,1984,1984
Virginia Garrard-Burnett,1,19,1,1,2008,2008
Khuat Thi Hai Oanh,1,14,1,1,2009,2009
Charles E. Nobbe,1,14,1,1,1974,1974
Michel P.A. Cayemittes,1,6,1,1,1991,1991
Simona Korenjak-Černe,1,7,1,1,2015,2015
Cornelius Y. Debpuur,1,52,1,1,2006,2006
Serguei Adamets,1,25,1,1,2002,2002
B. A. Lagger,1,3,1,1,2001,2001
V. Heuchel,1,85,1,1,1980,1980
Wim F. Wertheim,1,6,1,1,1959,1959
John Ssekamatte-Ssebuliba,1,24,1,1,2005,2005
Norma McArthur,1,2,1,1,1959,1959
Lee A. Lillard,1,22,1,1,1995,1995
Francis C. Madigan,1,6,1,1,1976,1976
Marit Rönsen,1,27,1,1,2010,2010
Alex de Waal,1,50,1,1,1989,1989
Sugiyama Iutaka,1,10,1,1,1971,1971
Michael S. Rendall,1,27,1,1,2010,2010
J. Marcotte,1,17,1,1,1984,1984
Alessandra De Rose,1,27,1,1,2010,2010
Britta Hoem,1,92,1,1,1989,1989
Ted A. Telford,1,19,1,1,1992,1992
William Seltzer,1,9,1,1,1969,1969
Jane Gilbert Mauldon,1,56,1,1,1992,1992
B. W. Higman,1,28,1,1,1973,1973
Allan N. Sharlin,1,3,1,1,1978,1978
Eric de Cooman,1,38,1,1,1987,1987
Väinö Kannisto,1,65,1,1,1988,1988
Alberto Sanz-Gimeno,1,11,1,1,2000,2000
Guillaume J. Wunsch,1,5,1,1,1976,1976
Srinivasa Ambirajan,1,29,1,1,1976,1976
David J. Loschky,1,3,1,1,1976,1976
Ariela Keysar,1,13,1,1,1985,1985
Harriet Birungi,1,18,1,1,2010,2010
Tom O. Owuor,1,10,1,1,2001,2001
Peter Streble,1,58,1,1,1987,1987
Donna B. Sulak,1,3,1,1,1988,1988
Ian M. Tamæus,1,54,1,1,2003,2003
Ann M. DiGirolamo,1,7,1,1,2009,2009
Katherine L. Bourne,1,35,1,1,1991,1991
Richard F. Tomasson,1,20,1,1,1977,1977
Gianpiero Dalla-Zuanna,1,2,1,1,2010,2010
Alena Heitlinger,1,16,1,1,1976,1976
Julie da Vanzo,1,72,1,1,2008,2008
Helena Chojnacka,1,14,1,1,1976,1976
Mark Poffenberger,1,4,1,1,1983,1983
Richard S. Monteith,1,11,1,1,1988,1988
Heather Juby,1,18,1,1,1998,1998
Isabelle Attané,1,27,1,1,2009,2009
Karsten Hank,1,41,1,1,2010,2010
Sue Teper,1,1,1,1,1978,1978
Eugene P. Ericksen,1,35,1,1,1979,1979
Wilma Johanna Nusselder,1,7,1,1,2016,2016
Ann Bowman Jannetta,1,18,1,1,1992,1992
Nikolai Botev,1,25,1,1,1990,1990
Melita C. Gesche,1,113,1,1,1974,1974
Bhanu B. Niraula,1,46,1,1,1996,1996
Georges Sabagh,1,7,1,1,1970,1970
Akim J. Mturi,1,12,1,1,2000,2000
Charles B. Teddlie,1,3,1,1,1979,1979
Frederick H.A. Aalen,1,4,1,1,1963,1963
Barbara Laslett,1,5,1,1,1987,1987
Kate Hampshire,1,15,1,1,2000,2000
Anouch Chahnazarian,1,6,1,1,1991,1991
Anthony H. Galt,1,2,1,1,1979,1979
Bui The Cuong,1,52,1,1,2000,2000
George T. Bicego,1,6,1,1,1991,1991
Constantijn W.A. Panis,1,22,1,1,1995,1995
Hai S. Halevi,1,1,1,1,1956,1956
Máire Ní Bhrolcháin,1,109,1,1,2012,2012
Antoinette M. Stroup,1,8,1,1,2015,2015
Thomas K. LeGrand,1,36,1,1,1996,1996
Céline Le Bourdais,1,18,1,1,1998,1998
Ann E. Biddlecom,1,36,1,1,2005,2005
Nancy Luke,1,22,1,1,2010,2010
Omer R. Galle,1,3,1,1,1973,1973
Philip Verwimp,1,39,1,1,2004,2004
Brian L. Pitcher,1,6,1,1,1974,1974
SØlvi B. Sogner,1,6,1,1,1963,1963
N. Krishnan Namboodiri,1,88,1,1,1972,1972
Wayne A. Schutjer,1,16,1,1,1986,1986
Helmut V. Muhsam,1,1,1,1,1975,1975
Martin P. Brockerhoff,1,71,1,1,2003,2003
Bryan L. Boulier,1,5,1,1,1986,1986
Monica Akinyi Magadi,1,71,1,1,2003,2003
Ghazi M. Farooq,1,4,1,1,1974,1974
