fullname,Papers,Cites,H-Index,First,Last
Kåre Bævre,1,3,1,2014,2014
Nancy Grey Osterud,1,28,1,1976,1976
Murray Gendell,1,5,1,1973,1973
Anouch Chahnazarian,1,6,1,1991,1991
Ann M. DiGirolamo,1,7,1,2009,2009
Kevin E. Schürer,1,4,1,2020,2020
Kate Hampshire,1,15,1,2000,2000
Sharon Pasco,1,13,1,1977,1977
Katherine L. Bourne,1,35,1,1991,1991
Richard F. Tomasson,1,20,1,1977,1977
Dana A. Glei,1,64,1,2007,2007
Gianpiero Dalla-Zuanna,1,2,1,2010,2010
Karsten Hank,1,41,1,2010,2010
Alena Heitlinger,1,16,1,1976,1976
Julie da Vanzo,1,72,1,2008,2008
Helena Chojnacka,1,14,1,1976,1976
R. A. Henin,1,19,1,1969,1969
Victoria A. Velkoff,1,27,1,1995,1995
Mark Poffenberger,1,4,1,1983,1983
Sarah A. Burgard,1,20,1,2008,2008
Richard S. Monteith,1,11,1,1988,1988
Heather Juby,1,18,1,1998,1998
Wiji Arulampalam,1,13,1,2008,2008
Bui The Cuong,1,52,1,2000,2000
Muriel Neven,1,22,1,2007,2007
Frances E. Kobrin,1,17,1,1981,1981
Ann E. Biddlecom,1,36,1,2005,2005
Antoinette M. Stroup,1,8,1,2015,2015
Máire Ní Bhrolcháin,1,109,1,2012,2012
Nancy Luke,1,22,1,2010,2010
Omer R. Galle,1,3,1,1973,1973
Philip Verwimp,1,39,1,2004,2004
Brian L. Pitcher,1,6,1,1974,1974
SØlvi B. Sogner,1,6,1,1963,1963
N. Krishnan Namboodiri,1,88,1,1972,1972
Wayne A. Schutjer,1,16,1,1986,1986
Hai S. Halevi,1,1,1,1956,1956
Helmut V. Muhsam,1,1,1,1975,1975
Constantijn W.A. Panis,1,22,1,1995,1995
George T. Bicego,1,6,1,1991,1991
Martin P. Brockerhoff,1,71,1,2003,2003
Bryan L. Boulier,1,5,1,1986,1986
Monica Akinyi Magadi,1,71,1,2003,2003
Ghazi M. Farooq,1,4,1,1974,1974
Kim Streatfield,1,61,1,1991,1991
Isabelle Attané,1,27,1,2009,2009
Sue Teper,1,1,1,1978,1978
Jan Hatzius,1,188,1,1997,1997
Phillip Neal Ritchey,1,36,1,1975,1975
Charles B. Teddlie,1,3,1,1979,1979
Frederick H.A. Aalen,1,4,1,1963,1963
Barbara Laslett,1,5,1,1987,1987
Céline Le Bourdais,1,18,1,1998,1998
Anthony H. Galt,1,2,1,1979,1979
Gretchen A. Condran,1,60,1,1994,1994
Kelly A. Musick,1,15,1,2014,2014
George T. Curlin,1,28,1,1976,1976
Ronald G. Ridker,1,7,1,1969,1969
Celeste M. Smucker,1,24,1,1980,1980
Eugene P. Ericksen,1,35,1,1979,1979
Jean L.E. Bourgeois-Pichat,1,12,1,1971,1971
J. Henripin,1,4,1,1982,1982
Mary Beth Ofstedal,1,53,1,2002,2002
Tomas Kögel,1,107,1,2004,2004
Gerda Neyer,1,67,1,2001,2001
Paul L. Menchik,1,110,1,1993,1993
R. E. Lightbourne,1,7,1,1982,1982
José Alberto Magno de Carvalho,1,42,1,2004,2004
