fullname,Papers,Cites,H-Index,First,Last
Domantas Jasilionis,1,29,1,2011,2011
Otis Dudley Duncan,1,36,1,1957,1957
Erzsébet Bukodi,1,6,1,2012,2012
Mikael Rostila,1,3,1,2018,2018
Mikołaj Szołtysek,1,0,0,2020,2020
Lesia Nedoluzhko,1,5,1,2016,2016
Laura Daniel Staetsky,1,0,0,2019,2019
Zhenming Xie,1,36,1,2007,2007
Terje Skjerpen,1,0,0,2020,2020
Jessica Erin Todd,1,43,1,2007,2007
Andrea Tyree,1,30,1,1973,1973
Leif Johansen,1,0,0,1957,1957
Alexandre Gori Maia,1,4,1,2016,2016
Patrick Gerland,1,6,1,2016,2016
Ruud Luijkx,1,31,1,2005,2005
Aiva Jasilioniene,1,95,1,2012,2012
Herman E. Daly,1,18,1,1971,1971
Gábor Kézdi,1,13,1,2009,2009
Collins O. Opiyo,1,24,1,2005,2005
James P. Vere,1,3,1,2008,2008
Dalkhat M. Ediev,1,7,1,2014,2014
Amon Ergashev,1,16,1,1996,1996
Georges Mauco,1,1,1,1950,1950
Cyril Burt,1,2,1,1947,1947
Clyde H. Coombs,1,14,1,1975,1975
Guang Guo,1,13,1,2011,2011
Anton Vrieling,1,2,1,2013,2013
Andrés Salazar-Arango,1,2,1,2017,2017
Travis St.Clair,1,16,1,2013,2013
Md Juel Rana,1,0,0,2020,2020
Jesús J. Sánchez,1,3,1,1998,1998
Catalina Torres,1,2,1,2019,2019
Aurora Angeli,1,6,1,2017,2017
Annalisa Donno,1,6,1,2017,2017
Pieter H.M. Van Baal,1,7,1,2016,2016
Pascaline Feuillet,1,0,0,2020,2020
Wendy Sigle,1,9,1,1999,1999
Camila Strobl Sakamoto,1,4,1,2016,2016
Jihong Liu,1,11,1,2004,2004
Joanna Marczak,1,1,1,2018,2018
Christopher D. Smith,1,0,0,2020,2020
Anthony Idowu Ajayi,1,0,0,2020,2020
Vincent Heath Whitney,1,2,1,1976,1976
Joyce Bellamy,1,2,1,1953,1953
Truong Si Anh,1,52,1,2000,2000
Woojin Chung,1,67,1,1998,1998
June L. Sklar,1,52,1,1974,1974
Lowell J. Taylor,1,0,0,2017,2017
Wallis Taylor,1,0,0,1955,1955
Leo Silberman,1,8,1,1960,1960
Sebastian Klüsener,1,2,1,2019,2019
Daniele Vignoli,1,50,1,2014,2014
Christos Bagavos,1,27,1,2010,2010
Tiziana Leone,1,59,1,2011,2011
Angélique A.P.O. Janssens,1,4,1,2020,2020
Damien de Walque,1,47,1,2006,2006
Catherine Armagnac,1,4,1,1981,1981
Jon Pedersen,1,23,1,1995,1995
Jean J. Medawar,1,0,0,1970,1970
Xiao Zhenyu,1,23,1,1988,1988
Benjamin D. Clark,1,20,1,2009,2009
Sarah R. Hayford,1,6,1,2017,2017
Sarah R. Brauner-Otto,1,3,1,2015,2015
Dudley Seers,1,3,1,1957,1957
Susan Scott,1,16,1,2000,2000
François Nault,1,32,1,1990,1990
Paul Schulz,1,9,1,2017,2017
Fengqing Chao,1,1,1,2020,2020
Ruth Glass,1,4,1,1951,1951
Brian Joseph Gillespie,1,1,1,2020,2020
Liliana Andriano,1,0,0,2020,2020
Patrick Festy,1,3,1,1973,1973
Dorean Nabukalu,1,0,0,2020,2020
Weixiang Luo,1,14,1,2014,2014
Katharine J. McCarthy,1,3,1,2019,2019
Montserrat Gas-Aixendri,1,2,1,2017,2017
Tom Lutalo,1,0,0,2020,2020
Oliver Reinhardt,1,9,1,2017,2017
Prescott L. Vandervoet,1,5,1,2017,2017
Miatudila Malonga,1,2,1,1983,1983
John Rogers,1,26,1,2005,2005
José Manuel Aburto,1,4,1,2020,2020
Róbert Iván Gál,1,13,1,2009,2009
Felix C. Tropf,1,16,1,2015,2015
Matthias Leuchter,1,14,1,2017,2017
John G. Cleland,1,3,1,2020,2020
Wilbur Zelinsky,1,3,1,1950,1950
David McCollum,1,4,1,2018,2018
Vegard F. Skirbekk,1,3,1,2012,2012
Cui Hongyan,1,12,1,2010,2010
John McDonald,1,7,1,1997,1997
Atiqur Rahman Khan,1,31,1,1976,1976
Janet Sceats Pool,1,3,1,1978,1978
James E. Smith,1,28,1,1976,1976
Melissa Burham,1,5,1,2017,2017
Youssef Courbage,1,19,1,1979,1979
Fabian F. Drixler,1,5,1,2016,2016
Reynaldo G. Rivera,1,2,1,2017,2017
William Ledger,1,0,0,2020,2020
James J. Anderson,1,8,1,2015,2015
Stefan Öberg,1,6,1,2015,2015
Heather Joshi,1,21,1,2006,2006
Stan J. Bernstein,1,24,1,1980,1980
Antonia Polychronopoulou,1,9,1,1965,1965
Qiong Zhang,1,11,1,2015,2015
Roberta Torre,1,25,1,2014,2014
Erika Kobayashi,1,47,1,2006,2006
Bilkis Vissandjée,1,25,1,2014,2014
Bruno Masquelier,1,24,1,2014,2014
Christine Schnor,1,11,1,2017,2017
Marta Styrc,1,50,1,2014,2014
Daniel E. Martínez,1,5,1,2017,2017
